gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000114904,NEK4,-1.74870257667,-0.098527374931,0.0803424444244,0.00732228071215,0.0110637853,0.00138185706409,0.00207058468613,14,14,14
ENSG00000171790,SLFNL1,-1.74868400281,-0.0982302980438,0.0803456567648,0.0326184989972,0.0266447892081,6.2542906857e-07,1.12657634876e-06,36,36,36
ENSG00000183801,OLFML1,1.74860290159,0.0947252595242,0.0803596844051,0.0304711360853,0.0642323667681,5.58122270641e-15,1.37530934081e-14,11,11,11
FAM201A,FAM201A,-1.74794026242,-0.0966679255831,0.0804743720758,0.0627008909463,0.0477708161018,1.96110649844e-11,4.29279270249e-11,53,53,53
ENSG00000180228,PRKRA,-1.74641021227,-0.0987940254147,0.0807396966763,0.000233733292858,0.00224578555648,0.150485504805,0.191409423833,3,3,3
ENSG00000172867,KRT2,-1.74555263547,-0.0972254494988,0.0808887186667,0.0849970805683,0.122217672627,6.7761736209e-28,2.41801633056e-27,40,40,40
ENSG00000121749,TBC1D15,1.74478631318,0.0954336546644,0.0810220721372,0.0401704106956,0.0770072981833,9.17046995782e-18,2.47864272141e-17,21,21,21
ENSG00000174945,AMZ1,-1.74464297414,-0.0959833716574,0.0810470354383,0.00663599513699,0.0147154768545,0.0002224296404,0.000349805467906,6,7,7
ENSG00000076944,STXBP2,-1.74453518208,-0.095195707693,0.0810658121455,0.0100633568777,0.0172176252888,6.43713328909e-05,0.000104541902035,14,14,14
ENSG00000036565,SLC18A1,-1.74450858106,-0.098144498684,0.0810704464212,0.384619490571,0.46027140208,2.44663040701e-125,4.55149280942e-124,35,35,35
ENSG00000109794,FAM149A,-1.7443596468,-0.0954245291405,0.0810963968584,0.360788338024,0.389760532467,8.9935121182e-101,1.17981621622e-99,86,86,86
ENSG00000110851,PRDM4,-1.74423730763,-0.0925167480134,0.0811177183878,0.15506179633,0.192222646261,1.34970300775e-44,6.89028616863e-44,56,56,56
ENSG00000132694,ARHGEF11,1.74365735818,0.0960537029177,0.0812188551286,0.103033717351,0.0773235715729,7.81732516276e-18,2.12117819775e-17,109,110,110
ENSG00000143156,NME7,1.74356643865,0.0950595810578,0.0812347197609,0.153270050496,0.19080048333,3.04260709701e-44,1.54309503561e-43,38,38,38
C17orf108,C17orf108,-1.74351276664,-0.0988781490448,0.0812440862199,0.209069890407,0.225794252485,4.12487899882e-53,2.48416924067e-52,60,60,60
ENSG00000146411,SLC2A12,1.74297272994,0.0963310504791,0.0813383783879,0.0416048936392,0.0704920218485,2.43383105595e-16,6.33017157146e-16,22,23,23
ENSG00000151176,PLBD2,-1.74261722207,-0.0986702383837,0.0814004996852,0.0713721825403,0.0956833143635,6.80169179172e-22,2.08823036337e-21,48,50,50
ENSG00000187605,TET3,1.74245450374,0.0927533791098,0.0814289458601,0.00405158822439,0.000925508005682,0.356156918874,0.434749099026,7,7,7
ENSG00000156453,PCDH1,-1.74233213732,-0.0940683474668,0.0814503430883,0.0133233474009,0.0201138537175,1.54333048235e-05,2.59242517319e-05,15,16,16
ENSG00000132463,GRSF1,-1.74219764979,-0.0932670488164,0.0814738651,0.0059980120549,0.00329419392202,0.0815361595171,0.106391198435,10,10,10
ENSG00000100796,SMEK1,-1.74204948424,-0.097336073932,0.0814997857933,0.0114099170222,0.0191561058512,2.47331710505e-05,4.10536352749e-05,11,11,11
